證期會代碼,公司簡稱,分類代碼,分類名稱
UPDATE,2013/12/18,x,x
0015,富邦,0049,封閉式基金
0050,台灣50,0099P,ETF
0051,中100,0099P,ETF
0052,FB科技,0099P,ETF
0053,寶電子,0099P,ETF
0054,台商50,0099P,ETF
0055,寶金融,0099P,ETF
0056,高股息,0099P,ETF
0057,FB摩台,0099P,ETF
0058,FB發達,0099P,ETF
0059,FB金融,0099P,ETF
0060,新台灣,0099P,ETF
0061,寶滬深,0099P,ETF
006203,寶摩臺,0099P,ETF
006204,豐臺灣,0099P,ETF
006205,FB上証,0099P,ETF
006206,元上證,0099P,ETF
006207,FH滬深,0099P,ETF
006208,FB台50,0099P,ETF
0080,恒中國,0099P,ETF
0081,恒香港,0099P,ETF
008201,上證50,0099P,ETF
01001T,富邦R1,019919T,受益證券
01002T,國泰R1,019919T,受益證券
01003T,新光R1,019919T,受益證券
01004T,富邦R2,019919T,受益證券
01007T,國泰R2,019919T,受益證券
01008T,駿馬R1,019919T,受益證券
03118B,元熊Y1,0999B,熊證
03119B,兆熊KC,0999B,熊證
03121B,元熊01,0999B,熊證
03123B,元熊AL,0999B,熊證
03124B,元熊AM,0999B,熊證
03125B,中熊03,0999B,熊證
03126B,元熊21,0999B,熊證
03127B,兆熊03,0999B,熊證
03128B,元熊31,0999B,熊證
03129B,凱熊30,0999B,熊證
03130B,凱熊31,0999B,熊證
03131B,元熊41,0999B,熊證
03132B,元熊51,0999B,熊證
03132P,2I元大,0999P,認售權證
03133B,元熊98,0999B,熊證
03172P,2U元大,0999P,認售權證
03234C,元牛58,0999C,牛證
03236C,元牛Y1,0999C,牛證
03242C,元牛01,0999C,牛證
03243C,元牛Z1,0999C,牛證
03244C,兆牛EB,0999C,牛證
03246C,元牛AZ,0999C,牛證
03248C,元牛11,0999C,牛證
03249C,元牛68,0999C,牛證
03250C,元牛BA,0999C,牛證
03251C,兆牛KB,0999C,牛證
03253C,中牛01,0999C,牛證
03254C,中牛02,0999C,牛證
03255C,元牛21,0999C,牛證
03256C,元牛31,0999C,牛證
03257C,統牛18,0999C,牛證
03258C,凱牛39,0999C,牛證
03259C,元牛BB,0999C,牛證
03260C,元牛BC,0999C,牛證
03261C,凱牛40,0999C,牛證
