文件更新,2014-02-24 01:13:46,x,x
證期會代碼,公司簡稱,分類代碼,分類名稱
006201,寶富櫃,EE,上櫃指數股票型基金(ETF)
1256,F-鮮活,02,食品工業
1258,F-其祥,02,食品工業
1259,安心,16,觀光事業
1333,恩得利,28,電子零組件業
1336,台翰,28,電子零組件業
1558,伸興,05,電機機械
1565,精華,22,生技醫療業
1566,捷邦,05,電機機械
1569,濱川,25,電腦及週邊設備業
1570,力肯,05,電機機械
1580,新麥,05,電機機械
1584,精剛,20,其他
1586,和勤,05,電機機械
1591,F-駿吉,05,電機機械
1593,祺驊,22,生技醫療業
1595,川寶,28,電子零組件業
1597,直得,05,電機機械
1599,宏佳騰,05,電機機械
1742,台蠟,21,化學工業
1752,南光,22,生技醫療業
1777,生泰,22,生技醫療業
1781,合世,22,生技醫療業
1784,訊聯,22,生技醫療業
1785,光洋科,31,其他電子業
1787,福盈科,21,化學工業
1788,杏昌,22,生技醫療業
1795,美時,22,生技醫療業
1799,紅電醫,22,生技醫療業
1813,寶利徠,22,生技醫療業
1815,富喬,28,電子零組件業
2035,唐榮,10,鋼鐵工業
2061,風青,06,電器電纜
2063,世鎧,10,鋼鐵工業
2066,世德,05,電機機械
2221,大甲,20,其他
2230,泰茂,05,電機機械
2233,宇隆,05,電機機械
2596,綠意,14,建材營造
2636,台驊,15,航運業
2640,大車隊,20,其他
2718,桃園店,16,觀光事業
2719,燦星旅,16,觀光事業
2724,F-富驛,16,觀光事業
2729,瓦城,16,觀光事業
2734,易飛網,16,觀光事業
2916,滿心,18,貿易百貨
2924,F-東凌,18,貿易百貨
2926,誠品生,32,文化創意業
3064,泰偉,32,文化創意業
3066,李洲,26,光電業
3067,全域,31,其他電子業
3068,美磊,27,通信網路業
3071,協禧,25,電腦及週邊設備業
3073,普格,24,半導體業
3078,僑威,28,電子零組件業
3083,網龍,32,文化創意業
3085,久大,30,資訊服務業
3086,華義,32,文化創意業
3088,艾訊,25,電腦及週邊設備業
3089,展成,28,電子零組件業
3092,鴻碩,28,電子零組件業
3093,港建,31,其他電子業
3095,及成,27,通信網路業
3105,穩懋,24,半導體業
3114,好德,28,電子零組件業
3115,寶島極,28,電子零組件業
3118,進階,22,生技醫療業
3126,信億,25,電腦及週邊設備業
3128,昇銳,26,光電業
3131,弘塑,31,其他電子業
3144,新揚科,28,電子零組件業
3152,璟德,27,通信網路業
3162,精確,05,電機機械
3163,波若威,27,通信網路業
3169,亞信,24,半導體業
3171,新洲,25,電腦及週邊設備業
3176,基亞,22,生技醫療業
3188,安茂,24,半導體業
3191,和進,28,電子零組件業
3202,樺晟,28,電子零組件業
3205,佰研,22,生技醫療業
3206,志豐,28,電子零組件業
3207,耀勝,28,電子零組件業
3211,順達,25,電腦及週邊設備業
3213,茂訊,25,電腦及週邊設備業
3217,優群,28,電子零組件業
3218,大學光,22,生技醫療業
3219,倚強,24,半導體業
3221,台嘉碩,27,通信網路業
3224,三顧,29,電子通路業
3226,至寶電,28,電子零組件業
3227,原相,24,半導體業
3228,金麗科,24,半導體業
3230,錦明,26,光電業
3232,昱捷,29,電子通路業
3234,光環,27,通信網路業
3236,千如,28,電子零組件業
3252,海灣,24,半導體業
3259,鑫創,24,半導體業
3260,威剛,24,半導體業
3264,欣銓,24,半導體業
3265,台星科,24,半導體業
3266,昇陽,14,建材營造
3268,海德威,24,半導體業
3276,宇環,28,電子零組件業
3284,太普高,20,其他
3285,微端,31,其他電子業
3287,廣寰科,25,電腦及週邊設備業
3288,點晶,28,電子零組件業
3289,宜特,31,其他電子業
3290,東浦,27,通信網路業
3291,遠翔科,24,半導體業
3293,鈊象,32,文化創意業
3294,英濟,28,電子零組件業
3297,杭特,26,光電業
3299,帛漢,28,電子零組件業
3303,岱稜,31,其他電子業
3306,鼎天,27,通信網路業
3310,佳穎,28,電子零組件業
3313,斐成,28,電子零組件業
3317,尼克森,24,半導體業
3322,建舜電,28,電子零組件業
3323,加百裕,25,電腦及週邊設備業
3324,雙鴻,31,其他電子業
3325,旭品,25,電腦及週邊設備業
3332,幸康,28,電子零組件業
3339,泰谷,26,光電業
3354,律勝,28,電子零組件業
3360,尚立,29,電子通路業
3362,先進光,26,光電業
