01001T,富邦R1
01002T,國泰R1
01003T,新光R1
01004T,富邦R2
01007T,國泰R2
01008T,駿馬R1
03100B,凱熊26
03101B,凱熊27
03105B,元熊K1
03114B,中熊02
03118B,元熊Y1
03119B,兆熊KC
03121B,元熊01
03123B,元熊AL
03124B,元熊AM
03125B,中熊03
03126B,元熊21
03127B,兆熊03
03128B,元熊31
03129B,凱熊30
03130B,凱熊31
03131B,元熊41
03132B,元熊51
03132P,2I元大
03133B,元熊98
03172P,2U元大
03227C,凱牛32
03228C,凱牛33
03233C,元牛X1
03234C,元牛58
03236C,元牛Y1
03242C,元牛01
03243C,元牛Z1
03244C,兆牛EB
03246C,元牛AZ
03248C,元牛11
03249C,元牛68
03250C,元牛BA
03251C,兆牛KB
03253C,中牛01
03254C,中牛02
03255C,元牛21
03256C,元牛31
03257C,統牛18
03258C,凱牛39
03259C,元牛BB
03260C,元牛BC
03261C,凱牛40
03262C,元牛41
03263C,兆牛02
03264C,元牛51
03265C,元牛02
03266C,元牛61
03267C,元牛78
03460P,中信LH
03520P,中信LZ
03752P,國泰BZ
03787P,兆豐86
03814P,中信1M
03887P,F1元大
03920P,富邦CZ
03965P,兆豐J5
03968P,中信2V
03975P,元富CJ
03979P,K4元大
04004P,M6元大
04013P,日盛5B
04019P,亞東MQ
04048P,X3元大
04056P,兆豐L7
04098P,群益60
04105P,富邦FN
04142P,群益75
04148P,日盛6U
04156P,中信4M
04157P,富邦FZ
04171P,日盛7E
04174P,國泰DV
04183P,統一BV
04191P,元大46
04192P,中信4N
04196P,國票DH
04197P,國票DJ
04204P,國泰DZ
04216P,群益92
04217P,群益93
04232P,群益1S
04233P,群益1T
04235P,元大68
04245P,中信4U
04248P,元大76
04250P,元大78
04265P,元大89
04266P,中信4Z
04267P,群益1Y
04268P,HP永豐
04276P,元富EP
04295P,元大B3
04298P,群益2G
04299P,群益2J
04312P,國泰EE
04320P,群益2P
04327P,中信5T
04335P,元大C3
04336P,元大C4
04353P,兆豐CU
04355P,富邦JF
04359P,群益3E
04363P,元大E6
04367P,元大F1
04369P,元大F3
04376P,富邦JV
04378P,元大G1
04383P,中信6L
04391P,群益4C
04392P,富邦JX
04394P,元大G6
04395P,國泰ET
04403P,元大H7
04404P,元大H8
04429P,富邦KM
04432P,元大J3
04440P,群益4Y
04443P,JF永豐
04452P,凱基AL
04468P,富邦KW
04469P,日盛A3
04470P,國泰FA
04471P,凱基AT
04472P,凱基AW
04473P,群益5E
04474P,群益5F
04475P,群益5L
04476P,群益5M
04477P,群益5N
04478P,JQ永豐
04479P,兆豐DU
04480P,兆豐DV
04482P,國票FA
04483P,康和DY
04484P,日盛A5
04485P,日盛A6
04486P,凱基AZ
04487P,元大L7
04488P,元富GT
04489P,元大M3
04490P,國票FC
04491P,國票FD
04492P,中信7F
04493P,中信7G
04494P,工銀MK
04495P,日盛B3
04496P,日盛B4
04497P,工銀MP
04498P,工銀MQ
04499P,工銀MR
04500P,工銀MS
04501P,工銀MT
04502P,統一FN
04503P,元富HC
04504P,兆豐EN
04505P,兆豐EP
04506P,兆豐EQ
04507P,兆豐ER
04508P,富邦LH
04509P,富邦LJ
04510P,元大N5
04511P,元大N6
04512P,元大N7
04513P,元富HD
04514P,工銀MV
04515P,中信7J
04516P,中信7K
04517P,中信7L
04518P,日盛B6
04519P,富邦LN
04520P,國票FH
04521P,元大N8
04522P,元大N9
04523P,元大X1
04524P,元大X2
04525P,元大X3
04526P,KA永豐
04527P,統一FT
04528P,元富HF
04529P,亞東62
04530P,日盛C1
04531P,富邦LQ
04532P,永昌DB
04533P,凱基BG
04534P,元大X9
04535P,元大Y1
04536P,統一FV
04537P,統一FW
04538P,工銀MY
04539P,元大Y7
04540P,元大Y8
04541P,元大Y9
04542P,元大Z1
04543P,元大Z2
04544P,KJ永豐
04545P,KM永豐
04546P,日盛D1
04547P,國泰FF
04548P,凱基BJ
04549P,凱基BK
04550P,凱基BL
04551P,統一FX
04552P,統一FY
04553P,元富HP
04554P,日盛D4
04555P,國泰FJ
04556P,KW永豐
04557P,富邦MA
04558P,AN元大
04559P,元富HY
04560P,元富HZ
04561P,AP元大
04562P,AQ元大
04563P,元富JJ
04564P,元富JK
04565P,康和EP
04566P,LE永豐
04567P,凱基CL
04568P,日盛F3
04569P,日盛F4
04570P,群益6Q
04571P,AX元大
04572P,AY元大
04573P,AZ元大
04574P,BA元大
04575P,中信7Y
04576P,兆豐FU
04577P,兆豐FV
04578P,兆豐FW
04579P,兆豐GA
04580P,兆豐GB
04581P,凱基CN
04582P,國泰FU
04583P,國泰FX
04584P,工銀NL
04585P,日盛H2
04586P,日盛H3
04587P,MF永豐
04588P,群益7F
04589P,群益7G
04590P,BF元大
04591P,BG元大
04592P,BH元大
04593P,亞東73
04594P,富邦MU
04595P,富邦MV
04596P,富邦NJ
04597P,元富KE
04598P,元富KF
04599P,日盛H8
04600P,CS元大
04601P,CT元大
04602P,CU元大
04603P,CV元大
04604P,CW元大
04605P,CX元大
04606P,凱基DH
04607P,凱基DR
04608P,MU永豐
04609P,MV永豐
04610P,MW永豐
04611P,群益7M
04612P,群益7N
04613P,群益7P
04614P,群益7Q
04615P,群益7R
04616P,群益7S
04617P,群益7T
04618P,亞東83
04619P,富邦NT
04620P,富邦NU
04621P,富邦NV
04622P,國票FZ
04623P,元富KG
04624P,元富KH
04625P,元富KJ
04626P,元富KK
04627P,元富KL
04628P,統一HM
04629P,凱基DW
04630P,國泰GB
04631P,日盛J1
04632P,日盛J2
04633P,MZ永豐
04634P,NA永豐
04635P,NB永豐
04636P,NC永豐
04637P,中信8N
04638P,亞東84
04639P,DV元大
04640P,DW元大
04641P,DX元大
04642P,DY元大
04643P,DZ元大
04644P,國票GA
04645P,國票GB
04646P,統一HV
04647P,統一HW
04648P,統一HX
04649P,元富KV
04650P,元富KW
04651P,康和FF
04652P,日盛J3
04653P,凱基DX
04654P,凱基DY
04655P,中信8U
04656P,中信8V
04657P,富邦NZ
04658P,ND永豐
04659P,統一JA
04660P,統一JB
04661P,元富LD
04662P,元富LE
04663P,元富LF
04664P,兆豐HR
04665P,兆豐HS
